title,link,pub_date,formatted_date,description,traffic
isack hadjar,https://trends.google.com/trending/rss?geo=ID,"Sun, 6 Apr 2025 00:30:00 -0700",2025-04-06 00:30,,
kur bri 2025,https://trends.google.com/trending/rss?geo=ID,"Sun, 6 Apr 2025 00:20:00 -0700",2025-04-06 00:20,,
tottenham vs southampton,https://trends.google.com/trending/rss?geo=ID,"Sun, 6 Apr 2025 00:10:00 -0700",2025-04-06 00:10,,
tanggal 7 april 2025 hari apa,https://trends.google.com/trending/rss?geo=ID,"Sun, 6 Apr 2025 00:10:00 -0700",2025-04-06 00:10,,
lecce,https://trends.google.com/trending/rss?geo=ID,"Sun, 6 Apr 2025 00:10:00 -0700",2025-04-06 00:10,,
red spark vs pink spider,https://trends.google.com/trending/rss?geo=ID,"Sun, 6 Apr 2025 00:00:00 -0700",2025-04-06 00:00,,
newcastle jets,https://trends.google.com/trending/rss?geo=ID,"Sun, 6 Apr 2025 00:00:00 -0700",2025-04-06 00:00,,
newcastle jets vs wellington phoenix,https://trends.google.com/trending/rss?geo=ID,"Sat, 5 Apr 2025 23:50:00 -0700",2025-04-05 23:50,,
pip 2025 kapan cair,https://trends.google.com/trending/rss?geo=ID,"Sat, 5 Apr 2025 23:40:00 -0700",2025-04-05 23:40,,
haviza devi anjani,https://trends.google.com/trending/rss?geo=ID,"Sat, 5 Apr 2025 23:40:00 -0700",2025-04-05 23:40,,
